,Mea_x,Mea_y,Mea_Lv
B:51,0.1356248,0.05212412,1.132458,
B:52,0.135622,0.05213515,1.174858,
B:53,0.1356313,0.05211721,1.216384,
B:54,0.1356441,0.05210638,1.270035,
B:55,0.1356213,0.0521176,1.318064,
B:56,0.1356427,0.05208244,1.365271,
B:57,0.1356485,0.05206846,1.416533,
B:58,0.1356474,0.05206744,1.481118,
B:59,0.135628,0.05204934,1.532108,
B:60,0.1356667,0.05204106,1.592776,
B:61,0.1356321,0.05203149,1.661759,
B:62,0.1356464,0.05204684,1.721357,
B:63,0.1356537,0.0519979,1.780486,
B:64,0.1356331,0.05199966,1.857449,
B:65,0.1356551,0.05198684,1.906677,
B:66,0.1356426,0.05201018,1.962063,
B:67,0.1356702,0.05198269,2.015336,
B:68,0.1356546,0.05197122,2.100484,
B:69,0.1356519,0.05197802,2.158951,
B:70,0.135662,0.05194887,2.217731,
B:71,0.1356523,0.05194053,2.285407,
B:72,0.1356731,0.05194404,2.366824,
B:73,0.1356775,0.05191649,2.429149,
B:74,0.1356791,0.05192739,2.495393,
B:75,0.1356795,0.05190555,2.583646,
B:76,0.1356784,0.05191695,2.664105,
B:77,0.1356673,0.05190638,2.736604,
B:78,0.1356918,0.05189312,2.810826,
B:79,0.1356674,0.05187038,2.912225,
B:80,0.135676,0.05185634,2.999349,
B:81,0.1356758,0.05188029,3.081976,
B:82,0.1356798,0.05185106,3.157722,
B:83,0.1356772,0.05185963,3.275779,
B:84,0.135668,0.05184564,3.372215,
B:85,0.135684,0.05184761,3.466782,
B:86,0.1356721,0.05183898,3.55746,
B:87,0.1356815,0.05182488,3.695927,
B:88,0.1356677,0.05182331,3.787691,
B:89,0.1356977,0.05182227,3.88308,
B:90,0.1356891,0.05181793,3.996636,
B:91,0.1356857,0.05179907,4.132082,
B:92,0.1356943,0.05179982,4.240248,
B:93,0.1356874,0.05179273,4.346025,
B:94,0.1356925,0.05178525,4.487171,
B:95,0.1356962,0.05178314,4.622972,
B:96,0.1356988,0.05178542,4.732104,
B:97,0.1356976,0.05177835,4.848863,
B:98,0.1357038,0.05177134,4.991622,
B:99,0.1356982,0.05176691,5.111403,
B:100,0.1356882,0.05175966,5.23237,
B:101,0.1357031,0.05175547,5.345405,
B:102,0.1356969,0.05174947,5.492192,
B:103,0.135702,0.05174582,5.633958,
B:104,0.1357034,0.05174066,5.753994,
B:105,0.1357132,0.05173574,5.884015,
B:106,0.135715,0.05173546,6.031037,
B:107,0.1357124,0.05172906,6.203338,
B:108,0.1357028,0.05172298,6.33251,
B:109,0.1357265,0.05171814,6.470525,
B:110,0.1356707,0.05162274,6.588338,
B:111,0.1356805,0.05164339,6.804108,
B:112,0.1356862,0.051637,6.938,
B:113,0.1356821,0.05163077,7.08782,
B:114,0.1356833,0.05162027,7.201504,
B:115,0.135691,0.05163661,7.360549,
B:116,0.1356898,0.05162215,7.483573,
B:117,0.1356827,0.05161373,7.591228,
B:118,0.1356853,0.05160872,7.686563,
B:119,0.1357038,0.05162318,7.805492,
